18 117
0 1 2.347453427905566
0 2 0.7160048536833308
0 3 7.59625858303321
0 4 5.758548448396242
0 5 9.89409397111424
0 6 6.360886202953835
0 7 8.02516359444753
0 9 3.9467724923380674
0 10 7.729209711065255
0 11 2.5833471211847403
0 12 5.990897859006296
0 13 3.2714542765429986
0 14 8.834465356059818
0 16 0.6368757105126521
1 3 6.792044202042076
1 4 3.4090925233695204
1 5 0.16396441923518856
1 9 4.102289560180511
1 10 4.15979908174828
1 11 9.838204207855789
1 12 2.8093146565354066
1 13 2.657239461110054
1 15 8.072103742823504
1 16 1.6009921167361651
2 3 6.343887186740995
2 5 4.58918835456109
2 6 2.0030042105644252
2 7 2.165721164373018
2 8 0.9115778464227431
2 9 6.056743056612776
2 10 8.956105095221139
2 11 2.808217296104857
2 12 5.391168892074346
2 13 6.778804939521992
2 14 8.331257930386329
2 15 8.393260333485419
2 16 8.359524306793562
2 17 2.9196131323663943
3 5 2.5803228876654405
3 6 4.377483782980197
3 8 1.0738121451409477
3 10 1.7659489715448873
3 11 8.207153201989211
3 12 4.03137182464118
3 13 7.603500671584479
3 14 3.3810493184518164
3 17 7.196500998378818
4 6 1.1131104241725687
4 8 1.6070331670463156
4 9 7.882487892862872
4 10 7.793923956110075
4 12 8.775108923928713
4 13 1.8482259686830294
4 14 6.9170542247925
4 15 3.793917016806614
4 16 0.02281627975075251
4 17 1.5186895900910657
5 8 1.232932174364637
5 9 3.8561227621374847
5 10 1.2268421066441726
5 11 8.181149445973956
5 12 9.282898786953599
5 13 5.637387170145663
5 14 6.902963204624889
5 15 2.7126315859927788
5 16 3.1374495954050707
5 17 2.8966954781476293
6 7 4.7004838351673275
6 8 9.595414102397617
6 9 2.4718390316905383
6 11 3.684471993557202
6 13 9.047539919376394
6 16 9.328009577135814
7 8 7.759269273356242
7 9 7.185360159840622
7 10 4.4346448267990155
7 11 4.558673189344161
7 12 8.342672200409957
7 13 6.406913432647675
7 14 6.54180498180353
7 15 0.06495765232961692
7 16 9.14280809769809
7 17 9.33110201125309
8 9 1.981948912693039
8 11 3.229050046376729
8 12 9.90043541537519
8 13 2.0376014219803293
8 14 7.828602516654558
8 15 4.762881084548908
8 16 8.2195136820288
9 10 5.308163449032865
9 12 7.452102993005908
9 14 2.454145133047394
9 15 1.2161559555437707
9 16 8.64899290503567
9 17 1.2554795818306574
10 11 6.016239830379106
10 12 0.3154054571018672
10 13 7.312214682417216
10 14 8.74543735481784
10 15 8.798187780381499
10 16 0.705728321149377
10 17 9.038615038902215
11 12 7.998549638844402
11 15 8.269246753130664
11 17 5.990410615633323
12 13 6.654534586555262
12 14 3.934348683838944
12 15 0.768241849779211
12 17 9.115865189637063
13 14 2.1464559580913702
13 15 2.852968709852032
13 16 0.9242623578339093
13 17 4.26447713534245
14 15 5.757173318931822
14 17 8.642287726708345
15 16 8.890890330369444
